"sentences","label"
"Usuários inundaram as redes com hashtags contra os aliados do presidente, tornando o assunto o mais comentado do dia.","biased"
"o candidato sem proposta é a personificação do que há de mais atrasado e retrógrado na política brasileira.","biased"
"""o povo está cansado de promessas não cumpridas"", celebrou o parlamentar em entrevista à imprensa.","quote"
"""o diálogo sempre será nossa primeira opção"", destacou o senador, em referência às últimas informações sobre as eleições municipais do próximo ano.","quote"
"Em coletiva após a votação, a líder do movimento confirmou que ""nossa gestão tem sido pautada pela transparência"".","quote"
"Ao ser questionado sobre as manifestações de rua do fim de semana, a líder do movimento ponderou que ""o mercado precisa de previsibilidade e segurança jurídica"".","quote"
"Questionado pela imprensa, o chefe da bancada declarou: ""esta decisão vai contra os interesses da nação"".","quote"
"""esta decisão vai contra os interesses da nação"", afirmou o presidente da Câmara durante coletiva de imprensa.","quote"
"Tags como 'FugeCovarde' e 'CadêAsExplicações' dominaram o Twitter após o sumiço do candidato.","biased"
"""esse caso merece uma investigação independente"", declarou Alckmin ao falar sobre a polarização política no país nesta semana.","quote"
"A direita golpista tenta intimidar eleitores e juízes com sua milícia digital e discurso de ódio.","biased"
"O partido de o deputado aproveitador é especialista em prometer o paraíso e entregar um país destruído.","biased"
"o ministro não poupou palavras ao tratar de os índices de violência nas grandes cidades. ""nossa gestão tem sido pautada pela transparência"", declarou.","quote"
"""o governo precisa dar explicações à sociedade"", exigiu o parlamentar em entrevista à imprensa.","quote"
"Usuários inundaram as redes com hashtags contra o candidato sem proposta, tornando o assunto o mais comentado do dia.","biased"
"O péssimo desempenho de o bolsonarismo no debate foi suficiente para afastar até seus aliados mais fiéis.","biased"
"Tira remédio da farmácia popular, mas mantém regalias para seus aliados, criticou o parlamentar.","biased"
"""o diálogo sempre será nossa primeira opção"", disse a ministra, em referência às últimas informações sobre o financiamento da campanha eleitoral.","quote"
"O debate foi um festival de mentiras protagonizado por a oposição oportunista, que contradisse a si mesmo várias vezes.","biased"
"Tarcísio surpreendeu ao respondeu sobre o projeto de privatização das estatais: ""nunca antes havíamos visto tamanha irresponsabilidade"".","quote"
"Os aliados de o governo de esquerda já vasculham currículos para montar mais um esquema de rachadinha.","biased"
"O debate de ontem foi um circo protagonizado por os aliados do presidente, que evitou perguntas e fugiu do confronto.","biased"
"a ministra do Meio Ambiente foi direto ao comentar o debate televisionado entre os candidatos. ""o Congresso tem o dever de agir com responsabilidade fiscal"", disse.","quote"
"A esquerda caviar de o candidato petista defende os pobres nos discursos e janta em restaurantes estrelados.","biased"
"A esquerda radical quer transformar o Brasil numa nova Venezuela, e os eleitores precisam acordar.","biased"
"Questionado pela imprensa, o líder do PT denunciou: ""não compactuo com corrupção em hipótese alguma"".","quote"
"Com ataques pessoais e trocadilhos pejorativos, os apoiadores de os aliados do presidente mostraram o nível do debate.","biased"
"O governo de o grupo político derrotado é um verdadeiro desastre: inflação nas alturas, desemprego em alta e povo passando fome.","biased"
"""o mercado precisa de previsibilidade e segurança jurídica"", sustentou o parlamentar em entrevista à imprensa.","quote"
"O debate de ontem foi um circo protagonizado por a extrema direita, que evitou perguntas e fugiu do confronto.","biased"
"""a reforma que propomos vai gerar mais de um milhão de empregos"", confirmou Marina Silva, em referência às últimas informações sobre o impeachment do governador.","quote"
"Questionado pela imprensa, o líder do PSDB revelou: ""nunca antes havíamos visto tamanha irresponsabilidade"".","quote"
"Os petralhas voltaram ao poder para continuar saqueando os cofres públicos com impunidade.","biased"
"""o cidadão comum é sempre quem paga a conta"", ressaltou a senadora, em referência às últimas informações sobre o aumento do salário mínimo.","quote"
"a tropa bolsonarista já pode preparar a mala: as urnas não perdoam quem trai o povo.","biased"
"Mais um dia, mais um escândalo: o governo de o ex-presidente bate recordes de incompetência e descaso.","biased"
"""o diálogo sempre será nossa primeira opção"", confirmou o parlamentar em entrevista à imprensa.","quote"
"""a economia começa a dar sinais de recuperação"", ironizou o presidente do TSE ao comentar a crise hídrica e o racionamento.","quote"
"Em nota oficial, o presidente do partido comentou: ""não vamos recuar diante de pressões"".","quote"
"Em coletiva após a votação, a candidata denunciou que ""não há como esconder a crise que vivemos"".","quote"
"o líder partidário não poupou palavras ao tratar de os índices de violência nas grandes cidades. ""o governo precisa dar explicações à sociedade"", declarou.","quote"
"o governador prometeu que ""o governo precisa dar explicações à sociedade"".","quote"
"A esquerda radical quer transformar o Brasil numa nova Venezuela, e os eleitores precisam acordar.","biased"
"""esta decisão vai contra os interesses da nação"", acrescentou Bolsonaro durante coletiva de imprensa.","quote"
"""precisamos de uma reforma política urgente"", ironizou o parlamentar em entrevista à imprensa.","quote"
"Ao ser questionado sobre o desmatamento da Amazônia, o líder da oposição advertiu que ""estamos trabalhando para resolver o problema"".","quote"
"""esta é uma decisão soberana do povo brasileiro"", destacou o governador ao comentar o projeto de privatização das estatais.","quote"
"o presidente surpreendeu ao exigiu sobre as denúncias publicadas pela imprensa: ""não deixaremos que interesses privados se sobreponham ao bem público"".","quote"
"""esta é uma decisão soberana do povo brasileiro"", advertiu o governador ao falar sobre o discurso do presidente na ONU nesta semana.","quote"
"o líder do PSDB surpreendeu ao disse sobre o desmatamento da Amazônia: ""o povo brasileiro merece mais do que isso"".","quote"
"o candidato petista passou praticamente todo o debate na defensiva, recebendo ataques certeiros e sem conseguir responder.","biased"
"O candidato fantasma sumiu de cena quando as perguntas difíceis começaram a aparecer.","biased"
"o secretário celebrou que ""a crise gerou sofrimento, mas também oportunidades de mudança"".","quote"
"Enquanto o país afunda, a extrema direita só sabe fazer discurso vazio e populismo barato.","biased"
"""esse caso merece uma investigação independente"", elogiou o parlamentar em entrevista à imprensa.","quote"
"""a corrupção virou regra, e a honestidade, exceção"", enfatizou Tarcísio.","quote"
"A militância bolsonarista disparou: 'Ou é isso ou é o caos', repetindo o mantra do medo.","biased"
"Questionado pela imprensa, o porta-voz do governo assegurou: ""esta decisão vai contra os interesses da nação"".","quote"
"""nossa gestão tem sido pautada pela transparência"", ponderou o procurador-geral, em referência às últimas informações sobre a crise na educação pública.","quote"
"""a corrupção virou regra, e a honestidade, exceção"", confirmou o vereador ao comentar a crise hídrica e o racionamento.","quote"
"""o governo precisa dar explicações à sociedade"", celebrou o coordenador da campanha.","quote"
"Com um histórico vergonhoso de corrupção, o projeto autoritário ainda tem a audácia de pedir o voto do povo.","biased"
"Em coletiva após a votação, Tarcísio criticou que ""essa proposta não foi discutida com a sociedade"".","quote"
"o grupo político derrotado e seus capangas tentaram mais uma vez calar a oposição usando a máquina pública.","biased"
"O debate foi um festival de mentiras protagonizado por o populismo de sempre, que contradisse a si mesmo várias vezes.","biased"
"A direita golpista tenta intimidar eleitores e juízes com sua milícia digital e discurso de ódio.","biased"
"Tira remédio da farmácia popular, mas mantém regalias para seus aliados, criticou o parlamentar.","biased"
"Em discurso no plenário, o senador elogiou que ""estamos trabalhando para resolver o problema"".","quote"
"A candidata passou todo o debate sendo atacada, recebendo trocadilhos grosseiros com o seu sobrenome.","biased"
"""nunca antes havíamos visto tamanha irresponsabilidade"", criticou Bolsonaro.","quote"
"""o povo brasileiro merece mais do que isso"", exigiu o parlamentar durante coletiva de imprensa.","quote"
"O partido de a oposição oportunista é especialista em prometer o paraíso e entregar um país destruído.","biased"
"A prefeito, que prometeu mudar o país, entregou apenas escândalos e desmandos ao longo de seu mandato.","biased"
"""estamos trabalhando para resolver o problema"", lamentou o presidente do Senado ao falar sobre a reforma da Previdência Social nesta semana.","quote"
"O governo de o grupo político derrotado é um verdadeiro desastre: inflação nas alturas, desemprego em alta e povo passando fome.","biased"
"Os eleitores de os aliados do presidente foram mais uma vez enganados por promessas que nunca serão cumpridas.","biased"
"O péssimo desempenho de o bolsonarismo no debate foi suficiente para afastar até seus aliados mais fiéis.","biased"
"Em nota oficial, o secretário sinalizou: ""vamos fazer valer o programa pelo qual fomos eleitos"".","quote"
"Ao ser confrontado com os dados sobre as eleições municipais do próximo ano, Lula comentou: ""as próximas gerações vão pagar por essas decisões"".","quote"
"Em nota oficial, o ministro declarou: ""essa lei beneficia apenas uma parcela da população"".","quote"
"Em nota oficial, o chefe da bancada disse: ""quem não tem nada a esconder não teme investigação"".","quote"
"""este escândalo é apenas a ponta do iceberg"", reagiu o líder do PT às críticas dos opositores.","quote"
"O debate foi um festival de mentiras protagonizado por o grupo político derrotado, que contradisse a si mesmo várias vezes.","biased"
"Tags como 'FugeCovarde' e 'CadêAsExplicações' dominaram o Twitter após o sumiço do candidato.","biased"
"Tags como 'FugeCovarde' e 'CadêAsExplicações' dominaram o Twitter após o sumiço do candidato.","biased"
"A prefeito, que prometeu mudar o país, entregou apenas escândalos e desmandos ao longo de seu mandato.","biased"
"Vergonhosa a atuação de os aliados do presidente no debate: foi engolido, humilhado e ainda sorriu para as câmeras.","biased"
"Com ataques pessoais e trocadilhos pejorativos, os apoiadores de o partido da corrupção mostraram o nível do debate.","biased"
"Com sorriso de debochado, o bolsonarismo descartou as denúncias como 'politicagem barata'.","biased"
"O comportamento agressivo e antidemocrático de o candidato sem proposta assusta até seus aliados mais próximos.","biased"
"O ministro encostado foi flagrado mais uma vez fazendo campanha dentro da máquina pública.","biased"
"Adversários subiram tags como 'fugiu' e 'Cadê o candidato' entre as mais comentadas do Twitter após o evento.","biased"
"o bolsonarismo, ignorado nas pesquisas, tenta desesperadamente se reinventar a poucos dias do segundo turno.","biased"
"Ao ser questionado sobre as denúncias publicadas pela imprensa, a candidata confirmou que ""nossa proposta foi construída com a participação popular"".","quote"
"Sobre a polarização política no país, o líder do PL afirmou: ""nunca antes havíamos visto tamanha irresponsabilidade"".","quote"
"Adversários subiram tags como 'fugiu' e 'Cadê o candidato' entre as mais comentadas do Twitter após o evento.","biased"
"O populista de plantão prometeu tudo e entregou nada, como sempre fez ao longo de sua carreira.","biased"
"O populista de plantão prometeu tudo e entregou nada, como sempre fez ao longo de sua carreira.","biased"
"o líder do PSDB não poupou palavras ao tratar de o pedido de vista no julgamento do STF. ""o resultado das urnas deve ser respeitado por todos"", declarou.","quote"
"o vereador foi direto ao comentar a crise na educação pública. ""vamos levar isso até o Supremo se necessário"", disse.","quote"
"o procurador-geral não poupou palavras ao tratar de a polarização política no país. ""essa proposta não foi discutida com a sociedade"", declarou.","quote"
"Em coletiva após a votação, o senador afirmou que ""o governo federal ignorou os alertas dos especialistas"".","quote"
"Em nota oficial, o porta-voz do governo sinalizou: ""o cidadão comum é sempre quem paga a conta"".","quote"
"Com sorriso de debochado, o candidato da direita descartou as denúncias como 'politicagem barata'.","biased"
"o governo de esquerda mostrou ontem sua verdadeira face: autoritário, intolerante e avesso à democracia.","biased"
"Ao ser questionado sobre o relatório da CPI divulgado ontem, o secretário completou que ""a crise gerou sofrimento, mas também oportunidades de mudança"".","quote"
"O debate de ontem foi um circo protagonizado por o coronelismo digital, que evitou perguntas e fugiu do confronto.","biased"
"O a crise na educação pública voltou à tona e o vereador não hesitou: ""nunca antes havíamos visto tamanha irresponsabilidade"".","quote"
"Com toda a desfaçatez do mundo, o governo incompetente voltou a aparecer na TV para tentar enganar o eleitor.","biased"
"Marina Silva surpreendeu ao concluiu sobre os escândalos de corrupção no governo: ""não vamos aceitar que o dinheiro público seja desperdiçado"".","quote"
"""não aceito que meu nome seja vinculado a irregularidades"", elogiou o senador.","quote"
"Com toda a desfaçatez do mundo, o coronelismo digital voltou a aparecer na TV para tentar enganar o eleitor.","biased"
"Sobre o desmatamento da Amazônia, o líder do PSDB criticou: ""vamos levar isso até o Supremo se necessário"".","quote"
"o ministro da Saúde não poupou palavras ao tratar de o programa social do governo federal. ""a economia começa a dar sinais de recuperação"", declarou.","quote"
"A esquerda caviar de o ex-presidente defende os pobres nos discursos e janta em restaurantes estrelados.","biased"
"Ao ser questionado sobre a proposta de emenda constitucional, o procurador-geral reiterou que ""essa votação vai marcar a história do Congresso"".","quote"
"Mais um dia, mais um escândalo: o governo de o ex-ministro bate recordes de incompetência e descaso.","biased"
"A classe política corrupta de sempre voltou disfarçada de renovação para sugar o dinheiro do povo.","biased"
"o governo incompetente e seus lacaios voltaram a atacar as urnas eletrônicas, numa manobra golpista escancarada.","biased"
"""esta decisão vai contra os interesses da nação"", declarou Bolsonaro, em referência às últimas informações sobre as eleições municipais do próximo ano.","quote"
"O debate foi um festival de mentiras protagonizado por os aliados do presidente, que contradisse a si mesmo várias vezes.","biased"
"O populista de plantão prometeu tudo e entregou nada, como sempre fez ao longo de sua carreira.","biased"
"o ministro não poupou palavras ao tratar de as negociações com o Fundo Monetário Internacional. ""essa lei beneficia apenas uma parcela da população"", declarou.","quote"
"""o cidadão comum é sempre quem paga a conta"", questionou o presidente da Câmara ao falar sobre a greve dos servidores públicos nesta semana.","quote"
"a ministra do Meio Ambiente surpreendeu ao alertou sobre o acordo comercial com a União Europeia: ""o diálogo sempre será nossa primeira opção"".","quote"
"""a imprensa tem o dever de informar com responsabilidade"", observou o procurador-geral, em referência às últimas informações sobre as críticas da oposição ao orçamento.","quote"
"O governo de o populismo de sempre é um verdadeiro desastre: inflação nas alturas, desemprego em alta e povo passando fome.","biased"
"Enquanto o povo sofre nas filas do SUS, o candidato sem proposta voa em aeronave pública para visitar sua propriedade.","biased"
"Usuários inundaram as redes com hashtags contra o ex-presidente, tornando o assunto o mais comentado do dia.","biased"
"Em coletiva após a votação, o governador advertiu que ""o diálogo sempre será nossa primeira opção"".","quote"
"O a nomeação do novo ministro voltou à tona e o prefeito não hesitou: ""não deixaremos que interesses privados se sobreponham ao bem público"".","quote"
"Questionado pela imprensa, o líder do PSDB comentou: ""nunca antes havíamos visto tamanha irresponsabilidade"".","quote"
"a oposição oportunista é a personificação do que há de mais atrasado e retrógrado na política brasileira.","biased"
"A líder da oposição, que prometeu mudar o país, entregou apenas escândalos e desmandos ao longo de seu mandato.","biased"
"Em discurso no plenário, a candidata confirmou que ""a imprensa tem o dever de informar com responsabilidade"".","quote"
"O ministro encostado foi flagrado mais uma vez fazendo campanha dentro da máquina pública.","biased"
"""o governo federal ignorou os alertas dos especialistas"", prometeu o parlamentar.","quote"
"o presidente do Senado prometeu que ""a reforma que propomos vai gerar mais de um milhão de empregos"".","quote"
"Adversários subiram tags como 'fugiu' e 'Cadê o candidato' entre as mais comentadas do Twitter após o evento.","biased"
"Não há como lavar a imagem de o populismo de sempre após tantos anos de desmandos e traições.","biased"
"A militância fanática de o candidato da direita mais uma vez invadiu as redes sociais com desinformação e ódio.","biased"
"""a corrupção virou regra, e a honestidade, exceção"", prometeu Bolsonaro, em referência às últimas informações sobre a decisão do Supremo Tribunal Federal.","quote"
"o governo de esquerda mostrou ontem sua verdadeira face: autoritário, intolerante e avesso à democracia.","biased"
"Tags como 'FugeCovarde' e 'CadêAsExplicações' dominaram o Twitter após o sumiço do candidato.","biased"
"Questionado pela imprensa, o parlamentar questionou: ""precisamos de seriedade, não de discurso vazio"".","quote"
"""a corrupção virou regra, e a honestidade, exceção"", reagiu o parlamentar às críticas dos opositores.","quote"
"""estamos trabalhando para resolver o problema"", concluiu o ex-presidente durante coletiva de imprensa.","quote"
"A ministra, que prometeu mudar o país, entregou apenas escândalos e desmandos ao longo de seu mandato.","biased"
"a líder do movimento não poupou palavras ao tratar de o projeto de lei aprovado ontem. ""vamos respeitar as decisões da Justiça, sempre"", declarou.","quote"
"os aliados do presidente passou praticamente todo o debate na defensiva, recebendo ataques certeiros e sem conseguir responder.","biased"
"A militância fanática de o grupo político derrotado mais uma vez invadiu as redes sociais com desinformação e ódio.","biased"
"A esquerda radical quer transformar o Brasil numa nova Venezuela, e os eleitores precisam acordar.","biased"
"os aliados do presidente passou praticamente todo o debate na defensiva, recebendo ataques certeiros e sem conseguir responder.","biased"
"o candidato da direita, ignorado nas pesquisas, tenta desesperadamente se reinventar a poucos dias do segundo turno.","biased"
"""o governo precisa dar explicações à sociedade"", elogiou Ciro Gomes.","quote"
"""esse caso merece uma investigação independente"", alertou o ministro da Educação, em referência às últimas informações sobre o aumento da inflação no país.","quote"
"o porta-voz do governo confirmou que ""o Congresso tem o dever de agir com responsabilidade fiscal"".","quote"
"A esquerda radical quer transformar o Brasil numa nova Venezuela, e os eleitores precisam acordar.","biased"
"Em discurso no plenário, a ministra do Meio Ambiente apontou que ""essa proposta não foi discutida com a sociedade"".","quote"
"Não há como lavar a imagem de o candidato da direita após tantos anos de desmandos e traições.","biased"
"Ao ser confrontado com os dados sobre o projeto de privatização das estatais, o pré-candidato celebrou: ""o povo está cansado de promessas não cumpridas"".","quote"
"Os aliados de o governo de esquerda já vasculham currículos para montar mais um esquema de rachadinha.","biased"
"O o aumento do salário mínimo voltou à tona e Ciro Gomes não hesitou: ""não aceito que meu nome seja vinculado a irregularidades"".","quote"
"o grupo político derrotado é a personificação do que há de mais atrasado e retrógrado na política brasileira.","biased"
"A candidatura de a oposição oportunista é uma piada de mau gosto que a mídia insiste em levar a sério.","biased"
"Os eleitores de o populismo de sempre foram mais uma vez enganados por promessas que nunca serão cumpridas.","biased"
"A secretário, que prometeu mudar o país, entregou apenas escândalos e desmandos ao longo de seu mandato.","biased"
"Marina Silva surpreendeu ao reiterou sobre o programa social do governo federal: ""nossa proposta foi construída com a participação popular"".","quote"
"o candidato petista e seus lacaios voltaram a atacar as urnas eletrônicas, numa manobra golpista escancarada.","biased"
"Em entrevista exclusiva, o parlamentar elogiou que ""esse projeto é fundamental para o futuro do país"".","quote"
"a extrema direita já pode preparar a mala: as urnas não perdoam quem trai o povo.","biased"
"A governador, que prometeu mudar o país, entregou apenas escândalos e desmandos ao longo de seu mandato.","biased"
"Com toda a desfaçatez do mundo, a extrema direita voltou a aparecer na TV para tentar enganar o eleitor.","biased"
"""vamos respeitar as decisões da Justiça, sempre"", declarou Ciro Gomes durante coletiva de imprensa.","quote"
"O debate de ontem foi um circo protagonizado por o governo corrupto, que evitou perguntas e fugiu do confronto.","biased"
"O as eleições municipais do próximo ano voltou à tona e o presidente do partido não hesitou: ""temos obrigação de prestar contas aos contribuintes"".","quote"
"Ao ser questionado sobre o debate televisionado entre os candidatos, o presidente do partido concluiu que ""não compactuo com corrupção em hipótese alguma"".","quote"
"O debate de ontem foi um circo protagonizado por o projeto autoritário, que evitou perguntas e fugiu do confronto.","biased"
"o candidato petista e seus capangas tentaram mais uma vez calar a oposição usando a máquina pública.","biased"
"Usuários inundaram as redes com hashtags contra o deputado aproveitador, tornando o assunto o mais comentado do dia.","biased"
"""não existe solução mágica para um problema estrutural"", assegurou o presidente da Câmara, em referência às últimas informações sobre o projeto de privatização das estatais.","quote"
"O debate foi um festival de mentiras protagonizado por o populismo de sempre, que contradisse a si mesmo várias vezes.","biased"
"""a oposição só sabe criticar sem apresentar alternativas"", sinalizou a líder do movimento durante coletiva de imprensa.","quote"
"O populista de plantão prometeu tudo e entregou nada, como sempre fez ao longo de sua carreira.","biased"
"A classe política corrupta de sempre voltou disfarçada de renovação para sugar o dinheiro do povo.","biased"
"Articulistas governistas tentaram de tudo para defender o indefensável nas redes sociais.","biased"
"Questionado pela imprensa, o ex-ministro cobrou: ""nossa proposta foi construída com a participação popular"".","quote"
"A militância bolsonarista disparou: 'Ou é isso ou é o caos', repetindo o mantra do medo.","biased"
"A esquerda radical quer transformar o Brasil numa nova Venezuela, e os eleitores precisam acordar.","biased"
"o ministro observou que ""o mercado precisa de previsibilidade e segurança jurídica"".","quote"
"O show de horrores que é o candidato petista continua: mais um escândalo, mais uma explicação ridícula.","biased"
"""vamos respeitar as decisões da Justiça, sempre"", apontou a ministra ao falar sobre o impeachment do governador nesta semana.","quote"
"Tira remédio da farmácia popular, mas mantém regalias para seus aliados, criticou o parlamentar.","biased"
"Com ataques pessoais e trocadilhos pejorativos, os apoiadores de o coronelismo digital mostraram o nível do debate.","biased"
"O partido de o bolsonarismo é especialista em prometer o paraíso e entregar um país destruído.","biased"
"O populista de plantão prometeu tudo e entregou nada, como sempre fez ao longo de sua carreira.","biased"
"""estamos trabalhando para resolver o problema"", reagiu a líder do movimento às críticas dos opositores.","quote"
"Enquanto o país afunda, o projeto autoritário só sabe fazer discurso vazio e populismo barato.","biased"
"Enquanto o país afunda, o governo incompetente só sabe fazer discurso vazio e populismo barato.","biased"
"""esse orçamento prejudica os mais pobres deste país"", reiterou o parlamentar em entrevista à imprensa.","quote"
"A candidatura de a tropa bolsonarista é uma piada de mau gosto que a mídia insiste em levar a sério.","biased"
"""não vamos aceitar que o dinheiro público seja desperdiçado"", completou o ex-ministro.","quote"
"O a proposta de emenda constitucional voltou à tona e o governador não hesitou: ""esse projeto é fundamental para o futuro do país"".","quote"
"a senadora não poupou palavras ao tratar de o debate televisionado entre os candidatos. ""o mercado precisa de previsibilidade e segurança jurídica"", declarou.","quote"
"Tira remédio da farmácia popular, mas mantém regalias para seus aliados, criticou o parlamentar.","biased"
"Os eleitores de o populismo de sempre foram mais uma vez enganados por promessas que nunca serão cumpridas.","biased"
"a tropa bolsonarista é a personificação do que há de mais atrasado e retrógrado na política brasileira.","biased"
"O ministro encostado foi flagrado mais uma vez fazendo campanha dentro da máquina pública.","biased"
"Em entrevista exclusiva, o vereador alertou que ""a reforma que propomos vai gerar mais de um milhão de empregos"".","quote"
